task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,omp,dynamic,4,100000,28,16,1,0.528433,1836308420
A,omp,dynamic,4,100000,28,16,2,0.534964,1836308420
A,omp,dynamic,4,100000,28,16,3,0.531182,1836308420
A,omp,dynamic,16,100000,28,16,1,0.523622,1836308420
A,omp,dynamic,16,100000,28,16,2,0.567637,1836308420
A,omp,dynamic,16,100000,28,16,3,0.548658,1836308420
A,omp,dynamic,64,100000,28,16,1,0.526873,1836308420
A,omp,dynamic,64,100000,28,16,2,0.530071,1836308420
A,omp,dynamic,64,100000,28,16,3,0.546330,1836308420
A,omp,guided,1,100000,28,16,1,0.541559,1836308420
A,omp,guided,1,100000,28,16,2,0.532888,1836308420
A,omp,guided,1,100000,28,16,3,0.534160,1836308420
A,omp,guided,4,100000,28,16,1,0.541627,1836308420
A,omp,guided,4,100000,28,16,2,0.534689,1836308420
A,omp,guided,4,100000,28,16,3,0.544412,1836308420
A,omp,guided,16,100000,28,16,1,0.571085,1836308420
A,omp,guided,16,100000,28,16,2,0.533321,1836308420
A,omp,guided,16,100000,28,16,3,0.533875,1836308420
A,omp,guided,64,100000,28,16,1,0.538174,1836308420
A,omp,guided,64,100000,28,16,2,0.543038,1836308420
A,omp,guided,64,100000,28,16,3,0.543923,1836308420
A,omp,static,0,500000,20,1,1,0.390911,273625000
A,omp,static,0,500000,20,1,2,0.379233,273625000
A,omp,static,0,500000,20,1,3,0.379284,273625000
A,omp,dynamic,1,500000,20,1,1,0.383317,273625000
A,omp,dynamic,1,500000,20,1,2,0.419630,273625000
A,omp,dynamic,1,500000,20,1,3,0.382251,273625000
A,omp,dynamic,4,500000,20,1,1,0.380124,273625000
A,omp,dynamic,4,500000,20,1,2,0.379596,273625000
A,omp,dynamic,4,500000,20,1,3,0.379588,273625000
A,omp,dynamic,16,500000,20,1,1,0.380417,273625000
A,omp,dynamic,16,500000,20,1,2,0.379639,273625000
A,omp,dynamic,16,500000,20,1,3,0.379242,273625000
A,omp,dynamic,64,500000,20,1,1,0.378499,273625000
A,omp,dynamic,64,500000,20,1,2,0.380854,273625000
A,omp,dynamic,64,500000,20,1,3,0.381108,273625000
A,omp,guided,1,500000,20,1,1,0.397684,273625000
A,omp,guided,1,500000,20,1,2,0.382183,273625000
A,omp,guided,1,500000,20,1,3,0.379237,273625000
A,omp,guided,4,500000,20,1,1,0.379239,273625000
A,omp,guided,4,500000,20,1,2,0.381032,273625000
A,omp,guided,4,500000,20,1,3,0.378858,273625000
A,omp,guided,16,500000,20,1,1,0.378963,273625000
A,omp,guided,16,500000,20,1,2,0.379278,273625000
A,omp,guided,16,500000,20,1,3,0.379444,273625000
A,omp,guided,64,500000,20,1,1,0.380105,273625000
A,omp,guided,64,500000,20,1,2,0.379015,273625000
A,omp,guided,64,500000,20,1,3,0.382286,273625000
A,omp,static,0,500000,20,2,1,0.194047,273625000
A,omp,static,0,500000,20,2,2,0.193913,273625000
A,omp,static,0,500000,20,2,3,0.194113,273625000
A,omp,dynamic,1,500000,20,2,1,0.195822,273625000
A,omp,dynamic,1,500000,20,2,2,0.196007,273625000
A,omp,dynamic,1,500000,20,2,3,0.196785,273625000
A,omp,dynamic,4,500000,20,2,1,0.195849,273625000
A,omp,dynamic,4,500000,20,2,2,0.194201,273625000
A,omp,dynamic,4,500000,20,2,3,0.194252,273625000
A,omp,dynamic,16,500000,20,2,1,0.193907,273625000
A,omp,dynamic,16,500000,20,2,2,0.193831,273625000
A,omp,dynamic,16,500000,20,2,3,0.194043,273625000
A,omp,dynamic,64,500000,20,2,1,0.193773,273625000
A,omp,dynamic,64,500000,20,2,2,0.193922,273625000
A,omp,dynamic,64,500000,20,2,3,0.194338,273625000
A,omp,guided,1,500000,20,2,1,0.193914,273625000
A,omp,guided,1,500000,20,2,2,0.195031,273625000
